SampleID	variable	value
Sample_1	Total.reads	25893521
Sample_10	Total.reads	5371957
Sample_11	Total.reads	33238379
Sample_12	Total.reads	22796534
Sample_13	Total.reads	38340592
Sample_14	Total.reads	4522287
Sample_15	Total.reads	13165955
Sample_16	Total.reads	32334229
Sample_17	Total.reads	37810656
Sample_18	Total.reads	19301066
Sample_19	Total.reads	33574246
Sample_2	Total.reads	10699242
Sample_20	Total.reads	24315829
Sample_21	Total.reads	9210771
Sample_22	Total.reads	37254737
Sample_23	Total.reads	31986578
Sample_24	Total.reads	15035562
Sample_25	Total.reads	35443332
Sample_26	Total.reads	32558193
Sample_27	Total.reads	32026812
Sample_28	Total.reads	30327433
Sample_29	Total.reads	35893505
Sample_3	Total.reads	30509411
Sample_30	Total.reads	52213715
Sample_31	Total.reads	29799692
Sample_32	Total.reads	30117019
Sample_33	Total.reads	55068537
Sample_34	Total.reads	28857070
Sample_35	Total.reads	35184104
Sample_36	Total.reads	52329724
Sample_37	Total.reads	28477296
Sample_38	Total.reads	32660681
Sample_39	Total.reads	54654445
Sample_4	Total.reads	27092218
Sample_40	Total.reads	33735926
Sample_41	Total.reads	35366885
Sample_42	Total.reads	37755372
Sample_43	Total.reads	43870943
Sample_44	Total.reads	34124425
Sample_45	Total.reads	39922571
Sample_46	Total.reads	29118842
Sample_47	Total.reads	25900757
Sample_48	Total.reads	33415036
Sample_49	Total.reads	25815792
Sample_5	Total.reads	2477907
Sample_50	Total.reads	17501896
Sample_6	Total.reads	3306141
Sample_7	Total.reads	11899116
Sample_8	Total.reads	6589918
Sample_9	Total.reads	15802492
Sample_1	Aligned.reads	22152784
Sample_10	Aligned.reads	3595073
Sample_11	Aligned.reads	26250206
Sample_12	Aligned.reads	18194678
Sample_13	Aligned.reads	31914909
Sample_14	Aligned.reads	3376611
Sample_15	Aligned.reads	10382118
Sample_16	Aligned.reads	25100593
Sample_17	Aligned.reads	32446551
Sample_18	Aligned.reads	16418325
Sample_19	Aligned.reads	29006184
Sample_2	Aligned.reads	8006351
Sample_20	Aligned.reads	20278814
Sample_21	Aligned.reads	6727114
Sample_22	Aligned.reads	31433571
Sample_23	Aligned.reads	26889762
Sample_24	Aligned.reads	10404989
Sample_25	Aligned.reads	30242424
Sample_26	Aligned.reads	27460359
Sample_27	Aligned.reads	26921594
Sample_28	Aligned.reads	24869830
Sample_29	Aligned.reads	29877761
Sample_3	Aligned.reads	25674371
Sample_30	Aligned.reads	43012018
Sample_31	Aligned.reads	24679347
Sample_32	Aligned.reads	25097982
Sample_33	Aligned.reads	45130312
Sample_34	Aligned.reads	23919677
Sample_35	Aligned.reads	29424302
Sample_36	Aligned.reads	43504206
Sample_37	Aligned.reads	23483435
Sample_38	Aligned.reads	26978059
Sample_39	Aligned.reads	45470228
Sample_4	Aligned.reads	23322823
Sample_40	Aligned.reads	28672392
Sample_41	Aligned.reads	30081517
Sample_42	Aligned.reads	32606974
Sample_43	Aligned.reads	36990036
Sample_44	Aligned.reads	28691994
Sample_45	Aligned.reads	34231380
Sample_46	Aligned.reads	25014533
Sample_47	Aligned.reads	21775718
Sample_48	Aligned.reads	28056381
Sample_49	Aligned.reads	21665482
Sample_5	Aligned.reads	1501092
Sample_50	Aligned.reads	14391211
Sample_6	Aligned.reads	2097343
Sample_7	Aligned.reads	9577281
Sample_8	Aligned.reads	4712833
Sample_9	Aligned.reads	12241973
Sample_1	De.duplicated.alignments	17048927
Sample_10	De.duplicated.alignments	3395776
Sample_11	De.duplicated.alignments	23948186
Sample_12	De.duplicated.alignments	17168530
Sample_13	De.duplicated.alignments	30076282
Sample_14	De.duplicated.alignments	3231938
Sample_15	De.duplicated.alignments	9713272
Sample_16	De.duplicated.alignments	23078524
Sample_17	De.duplicated.alignments	30716812
Sample_18	De.duplicated.alignments	14940993
Sample_19	De.duplicated.alignments	27268325
Sample_2	De.duplicated.alignments	7555702
Sample_20	De.duplicated.alignments	19391965
Sample_21	De.duplicated.alignments	6476126
Sample_22	De.duplicated.alignments	30007441
Sample_23	De.duplicated.alignments	25231448
Sample_24	De.duplicated.alignments	10054971
Sample_25	De.duplicated.alignments	28843719
Sample_26	De.duplicated.alignments	25721469
Sample_27	De.duplicated.alignments	25546746
Sample_28	De.duplicated.alignments	23378295
Sample_29	De.duplicated.alignments	28404351
Sample_3	De.duplicated.alignments	24009947
Sample_30	De.duplicated.alignments	41018867
Sample_31	De.duplicated.alignments	23324635
Sample_32	De.duplicated.alignments	23967029
Sample_33	De.duplicated.alignments	43002342
Sample_34	De.duplicated.alignments	22568866
Sample_35	De.duplicated.alignments	28026038
Sample_36	De.duplicated.alignments	41466770
Sample_37	De.duplicated.alignments	22276892
Sample_38	De.duplicated.alignments	25757927
Sample_39	De.duplicated.alignments	43293015
Sample_4	De.duplicated.alignments	15988376
Sample_40	De.duplicated.alignments	27292851
Sample_41	De.duplicated.alignments	28785122
Sample_42	De.duplicated.alignments	31059897
Sample_43	De.duplicated.alignments	34585424
Sample_44	De.duplicated.alignments	27462878
Sample_45	De.duplicated.alignments	32643585
Sample_46	De.duplicated.alignments	23988872
Sample_47	De.duplicated.alignments	20620638
Sample_48	De.duplicated.alignments	26797864
Sample_49	De.duplicated.alignments	20621806
Sample_5	De.duplicated.alignments	1442215
Sample_50	De.duplicated.alignments	13728842
Sample_6	De.duplicated.alignments	1996853
Sample_7	De.duplicated.alignments	7112845
Sample_8	De.duplicated.alignments	4506380
Sample_9	De.duplicated.alignments	11561527
Sample_1	Duplicated	5103857
Sample_10	Duplicated	199297
Sample_11	Duplicated	2302020
Sample_12	Duplicated	1026148
Sample_13	Duplicated	1838627
Sample_14	Duplicated	144673
Sample_15	Duplicated	668846
Sample_16	Duplicated	2022069
Sample_17	Duplicated	1729739
Sample_18	Duplicated	1477332
Sample_19	Duplicated	1737859
Sample_2	Duplicated	450649
Sample_20	Duplicated	886849
Sample_21	Duplicated	250988
Sample_22	Duplicated	1426130
Sample_23	Duplicated	1658314
Sample_24	Duplicated	350018
Sample_25	Duplicated	1398705
Sample_26	Duplicated	1738890
Sample_27	Duplicated	1374848
Sample_28	Duplicated	1491535
Sample_29	Duplicated	1473410
Sample_3	Duplicated	1664424
Sample_30	Duplicated	1993151
Sample_31	Duplicated	1354712
Sample_32	Duplicated	1130953
Sample_33	Duplicated	2127970
Sample_34	Duplicated	1350811
Sample_35	Duplicated	1398264
Sample_36	Duplicated	2037436
Sample_37	Duplicated	1206543
Sample_38	Duplicated	1220132
Sample_39	Duplicated	2177213
Sample_4	Duplicated	7334447
Sample_40	Duplicated	1379541
Sample_41	Duplicated	1296395
Sample_42	Duplicated	1547077
Sample_43	Duplicated	2404612
Sample_44	Duplicated	1229116
Sample_45	Duplicated	1587795
Sample_46	Duplicated	1025661
Sample_47	Duplicated	1155080
Sample_48	Duplicated	1258517
Sample_49	Duplicated	1043676
Sample_5	Duplicated	58877
Sample_50	Duplicated	662369
Sample_6	Duplicated	100490
Sample_7	Duplicated	2464436
Sample_8	Duplicated	206453
Sample_9	Duplicated	680446
Sample_1	Unaligned.Reads	3740737
Sample_10	Unaligned.Reads	1776884
Sample_11	Unaligned.Reads	6988173
Sample_12	Unaligned.Reads	4601856
Sample_13	Unaligned.Reads	6425683
Sample_14	Unaligned.Reads	1145676
